gene_symbol,entrez_id,ensembl_gene_id,mgi_gene_id,uniprot_id,family_id,sf_id,family_name,subfamily_name
0610009B22Rik,,,MGI:1913300,,PTHR12403,PTHR12403:SF12,TRAFFICKING PROTEIN PARTICLE COMPLEX SUBUNIT 2,"MCG6979, ISOFORM CRA_A"
0610010F05Rik,,,MGI:1918925,,PTHR20946,PTHR20946:SF0,UNCHARACTERIZED,SI:CH211-189K9.2
0610010K14Rik,,,MGI:1915609,,PTHR21397,PTHR21397:SF2,CHROMATIN COMPLEXES SUBUNIT BAP18-RELATED,CHROMATIN COMPLEXES SUBUNIT BAP18
0610012G03Rik,,,MGI:1913301,,PTHR41161,PTHR41161:SF1,PROTEIN NCBP2AS2,PROTEIN NCBP2AS2
0610030E20Rik,,,MGI:1915614,,PTHR34256,PTHR34256:SF1,UPF0561 PROTEIN C2ORF68,UPF0561 PROTEIN C2ORF68
0610040J01Rik,,,MGI:1923511,,PTHR16106,PTHR16106:SF3,CHROMOSOME 4 OPEN READING FRAME 19,CHROMOSOME 4 OPEN READING FRAME 19
1110002E22Rik,,,MGI:1915066,,PTHR33775,PTHR33775:SF4,CARDIAC-ENRICHED FHL2-INTERACTING PROTEIN-RELATED,SI:DKEY-38L22.2
1110004F10Rik,,,MGI:1929274,,PTHR22175,PTHR22175:SF0,SMALL ACIDIC PROTEIN-RELATED,SMALL ACIDIC PROTEIN
1110008P14Rik,,,MGI:1920987,,PTHR34344,PTHR34344:SF1,UPF0184 PROTEIN C9ORF16,UPF0184 PROTEIN C9ORF16
1110017D15Rik,,,MGI:1920971,,PTHR35664,PTHR35664:SF1,SPERMATID-SPECIFIC MANCHETTE-RELATED PROTEIN 1,SPERMATID-SPECIFIC MANCHETTE-RELATED PROTEIN 1
1110032A03Rik,,,MGI:1915971,,PTHR34524,PTHR34524:SF1,CALCYPHOSIN,UPF0686 PROTEIN C11ORF1
1110032F04Rik,,,MGI:1915975,,PTHR38505,PTHR38505:SF1,HYPOTHETICAL PROTEIN LOC100362176,HYPOTHETICAL PROTEIN LOC100362176
1110038F14Rik,,,MGI:2152337,,PTHR13602,PTHR13602:SF2,UNCHARACTERIZED,UPF0488 PROTEIN C8ORF33
1110051M20Rik,,,MGI:1915079,,PTHR34252,PTHR34252:SF1,UPF0705 PROTEIN C11ORF49,UPF0705 PROTEIN C11ORF49
1110057P08Rik,,,MGI:1916094,,PTHR39653,PTHR39653:SF5,KERATIN-ASSOCIATED PROTEIN 20-2,RIKEN CDNA 1110057P08 GENE
1110059E24Rik,,,MGI:1913456,,PTHR22876,PTHR22876:SF5,ZGC:101016,ZGC:101016
1110059G10Rik,,,MGI:1913452,,PTHR31195,PTHR31195:SF2,UNCHARACTERIZED,ZGC:77056
1110065P20Rik,,,MGI:1916170,,PTHR41401,PTHR41401:SF1,RGD1559909,RGD1559909
1190005I06Rik,,,MGI:1916168,,PTHR37455,PTHR37455:SF1,"GENE, 27021-RELATED","GENE, 27021-RELATED"
1190007I07Rik,,,MGI:3698433,,PTHR28492,PTHR28492:SF1,HYPOTHETICAL PROTEIN LOC691921,HYPOTHETICAL PROTEIN LOC691921
1300017J02Rik,,,MGI:1919025,,PTHR11485,PTHR11485:SF20,TRANSFERRIN,INHIBITOR OF CARBONIC ANHYDRASE
1500009L16Rik,,,MGI:1917034,,PTHR38502,PTHR38502:SF1,OVEREXPRESSED IN COLON CARCINOMA 1 PROTEIN,OVEREXPRESSED IN COLON CARCINOMA 1 PROTEIN
1500011B03Rik,,,MGI:1913486,,PTHR37874,PTHR37874:SF1,RIKEN CDNA 1500011B03 GENE-RELATED,RIKEN CDNA 1500011B03 GENE-RELATED
1600012H06Rik,,,MGI:1915162,,PTHR31703,PTHR31703:SF2,UPF0669 PROTEIN C6ORF120,UPF0669 PROTEIN C6ORF120
1600014C10Rik,,,MGI:1919494,,PTHR31493,PTHR31493:SF1,NAZO FAMILY MEMBER,PROTEIN C19ORF12
1700001C19Rik,,,MGI:1922712,,PTHR35444,PTHR35444:SF1,RIKEN CDNA 1700001C19 GENE,RIKEN CDNA 1700001C19 GENE
1700001F09Rik,,,MGI:1919076,,PTHR21558,PTHR21558:SF40,SPEER/SPETEX,ENSMUSG00000072602 PROTEIN-RELATED
1700001J03Rik,,,MGI:1916532,,PTHR46793,PTHR46793:SF1,1700018F24RIK PROTEIN-RELATED-RELATED,1700018F24RIK PROTEIN-RELATED
1700001K19Rik,,,MGI:1913573,,PTHR38495,PTHR38495:SF1,MCG11474,MCG11474
1700001L19Rik,,,MGI:1916565,,PTHR34444,PTHR34444:SF1,LOC361192,LOC361192
1700001O22Rik,,,MGI:1923631,,PTHR36865,PTHR36865:SF1,RIKEN CDNA 1700001O22 GENE,RIKEN CDNA 1700001O22 GENE
1700001P01Rik,,,MGI:1919465,,PTHR34221,PTHR34221:SF2,HYPOTHETICAL PROTEIN LOC691189,HYPOTHETICAL PROTEIN LOC691189
1700003E16Rik,,,MGI:1919087,,PTHR34438,PTHR34438:SF1,FAMILY NOT NAMED,SUBFAMILY NOT NAMED
1700003F12Rik,,,MGI:1922730,,PTHR37335,PTHR37335:SF1,RIKEN CDNA 1700003F12 GENE,RIKEN CDNA 1700003F12 GENE
1700003H04Rik,,,MGI:1923637,,PTHR23179,PTHR23179:SF26,T-CELL ACTIVATION RHO GTPASE ACTIVATING PROTEIN-RELATED,T-CELL ACTIVATION RHO GTPASE-ACTIVATING PROTEIN
1700006A11Rik,,,MGI:1919074,,PTHR23179,PTHR23179:SF38,T-CELL ACTIVATION RHO GTPASE ACTIVATING PROTEIN-RELATED,1700006A11RIK PROTEIN
1700007K13Rik,,,MGI:1916577,,PTHR20899,PTHR20899:SF8,PIERCE HOMOLOG,UPF0691 PROTEIN C9ORF116
1700008O03Rik,,,MGI:1916599,,PTHR37153,PTHR37153:SF1,CHROMOSOME 19 C19ORF81 HOMOLOG,CHROMOSOME 19 C19ORF81 HOMOLOG
1700009N14Rik,,,MGI:1922721,,PTHR24071,PTHR24071:SF3,RAN GTPASE,GTP-BINDING NUCLEAR PROTEIN RAN
1700010I14Rik,,,MGI:1914181,,PTHR34916,PTHR34916:SF1,GI:13385330,GI:13385330
1700012B09Rik,,,MGI:1916575,,PTHR38326,PTHR38326:SF1,CHROMOSOME 11 OPEN READING FRAME 97,CHROMOSOME 11 OPEN READING FRAME 97
1700012P22Rik,,,MGI:1916614,,PTHR31180,PTHR31180:SF2,UNCHARACTERIZED,HYPOTHETICAL PROTEIN LOC691162
1700013F07Rik,,,MGI:1922754,,PTHR10924,PTHR10924:SF3,MAJOR FACILITATOR SUPERFAMILY PROTEIN-RELATED,FELINE LEUKEMIA VIRUS SUBGROUP C RECEPTOR-RELATED PROTEIN 2
1700013G24Rik,,,MGI:1916630,,PTHR39226,PTHR39226:SF1,RIKEN CDNA 1700013G24 GENE,RIKEN CDNA 1700013G24 GENE
1700013H16Rik,,,MGI:1922764,,PTHR19368,PTHR19368:SF10,XLR/SCP3/FAM9,EG546282 PROTEIN-RELATED
1700014D04Rik,,,MGI:1921474,,PTHR21859,PTHR21859:SF12,ACROSOME-SPECIFIC PROTEIN,SPERMATOGENESIS-ASSOCIATED PROTEIN 31D1
1700015F17Rik,,,MGI:2686532,,PTHR15191,PTHR15191:SF6,PROTEIN CBG20567,RIKEN CDNA 1700015F17 GENE
1700016C15Rik,,,MGI:1916678,,PTHR31763,PTHR31763:SF2,HYPOTHETICAL PROTEIN LOC689766,HYPOTHETICAL PROTEIN LOC689766
1700016H13Rik,,,MGI:1921468,,PTHR38002,PTHR38002:SF1,C4ORF36 ISOFORM 11,C4ORF36 ISOFORM 11
1700016K19Rik,,,MGI:1921480,,PTHR36474,PTHR36474:SF1,PROTEIN LIAT1,PROTEIN LIAT1
1700017B05Rik,,,MGI:1921461,,PTHR28422,PTHR28422:SF1,SIMILAR TO HUMAN CHROMOSOME 15 OPEN READING FRAME 39,SIMILAR TO HUMAN CHROMOSOME 15 OPEN READING FRAME 39
1700017N19Rik,,,MGI:1913855,,PTHR15725,PTHR15725:SF1,"ZN-FINGER, C-X8-C-X5-C-X3-H TYPE-CONTAINING",RIKEN CDNA 1700017N19 GENE
1700018B08Rik,,,MGI:1923655,,PTHR14693,PTHR14693:SF0,RIKEN CDNA 1700018B08,RIKEN CDNA 1700018B08
1700018F24Rik,,,MGI:1916646,,PTHR46793,PTHR46793:SF1,1700018F24RIK PROTEIN-RELATED-RELATED,1700018F24RIK PROTEIN-RELATED
1700019D03Rik,,,MGI:1914330,,PTHR36471,PTHR36471:SF1,SMALL MEMBRANE A-KINASE ANCHOR PROTEIN,SMALL MEMBRANE A-KINASE ANCHOR PROTEIN
1700019N19Rik,,,MGI:1914757,,PTHR47301,PTHR47301:SF1,HYPOTHETICAL PROTEIN LOC681006,HYPOTHETICAL PROTEIN LOC681006
1700020A23Rik,,,MGI:1922906,,PTHR39222,PTHR39222:SF1,MCG9903,MCG9903
1700020D05Rik,,,MGI:1922805,,PTHR11736,PTHR11736:SF91,MELANOMA-ASSOCIATED ANTIGEN  MAGE ANTIGEN,MAGE-G2
1700020L24Rik,,,MGI:1913580,,PTHR37878,PTHR37878:SF1,HYPOTHETICAL PROTEIN LOC689039,HYPOTHETICAL PROTEIN LOC689039
1700020N01Rik,,,MGI:1914942,,PTHR23232,PTHR23232:SF77,KRAB DOMAIN C2H2 ZINC FINGER,RIKEN CDNA 1700020N01
1700021F07Rik,,,MGI:1919471,,PTHR31909,PTHR31909:SF3,CHROMOSOME 20 ORF85 FAMILY MEMBER,RCG40914
1700022I11Rik,,,MGI:1914567,,PTHR21777,PTHR21777:SF0,RCG55159-LIKE,RCG55159-LIKE
1700024B05Rik,,,MGI:1922768,,PTHR21558,PTHR21558:SF12,SPEER/SPETEX,2610042L04RIK PROTEIN-RELATED
1700024G13Rik,,,MGI:1914335,,PTHR28448,PTHR28448:SF1,UPF0728 PROTEIN C10ORF53,UPF0728 PROTEIN C10ORF53
1700025G04Rik,,,MGI:1916649,,PTHR14974,PTHR14974:SF3,SIMILAR TO RIKEN CDNA 1700025G04 GENE,SIMILAR TO RIKEN CDNA 1700025G04 GENE
1700028K03Rik,,,MGI:1923671,,PTHR31408,PTHR31408:SF2,HYPOTHETICAL PROTEIN LOC689986,HYPOTHETICAL PROTEIN LOC689986
